cycle,test_group,test_type,prosthesis,pair,n1,n2,omnibus_pval,omnibus_significant,T2,mahalanobis_D,posthoc_test,ilr1_pval,ilr1_pval_bonf,ilr1_cohens_d,ilr1_significant,ilr2_pval,ilr2_pval_bonf,ilr2_cohens_d,ilr2_significant,toe_clr_pval,toe_clr_pval_bonf,toe_clr_cohens_d,toe_clr_significant,angle_clr_pval,angle_clr_pval_bonf,angle_clr_cohens_d,angle_clr_significant,inter_dep_clr_pval,inter_dep_clr_pval_bonf,inter_dep_clr_cohens_d,inter_dep_clr_significant
cycle,g1,paired,Mech,(A-A)-(S-S),12,12,7.77241970894925e-05,True,61.993037452881985,2.2729026495665914,ttest_rel,0.0012884153737189557,0.0025768307474379115,1.2698155899940617,True,0.0006992029171910093,0.0013984058343820187,2.287826511936985,True,0.5238528582815503,1.0,0.24157618692213093,False,7.874153814443646e-06,2.362246144333094e-05,-3.0328001132530704,True,0.0012884153737189557,0.0038652461211568672,1.2698155899940617,True
cycle,g1,paired,Mech,(A-S)-(S-A),12,12,0.007946002191713009,True,17.93096694248115,1.222394062979186,ttest_rel,0.022139820614749058,0.044279641229498116,-0.9901244241307176,True,0.022106671823126728,0.044213343646253456,-1.0581564985896919,True,0.4321346680769096,1.0,0.28626044880304946,False,0.0018992841416504017,0.005697852424951205,1.7563573919863693,True,0.022139820614749093,0.06641946184424728,-0.9901244241307176,False
cycle,g1,unpaired,Mech-none,(A-A)-(Same),12,22,8.050719085099888e-18,True,373.5079325051147,7.554052681210506,ttest_ind,5.553181448701929e-07,1.1106362897403858e-06,2.2365105166930426,True,7.946451001667539e-17,1.5892902003335078e-16,5.742810227302515,True,0.0016245565811213289,0.004873669743363986,1.235558026598588,True,4.794410104905265e-17,1.4383230314715796e-16,-5.845158943558795,True,5.553181448701879e-07,1.6659544346105637e-06,2.236510516693044,True
cycle,g1,unpaired,Mech-none,(S-S)-(Same),12,22,8.46488690089103e-07,True,46.870819818716726,2.675970794781992,ttest_ind,0.3616592996783369,0.7233185993566738,0.33211623182344535,False,4.0013263742975855e-05,8.002652748595171e-05,1.7077745430612457,True,0.08156782653272318,0.24470347959816954,0.6453605524171837,False,1.3981543268850807e-06,4.194462980655242e-06,-2.1218518056119002,True,0.3616592996783363,1.0,0.33211623182344585,False
cycle,g1,unpaired,Mech-none,(A-S)-(Contra),12,22,5.0662951477211234e-12,True,139.34823068183206,4.614034354102216,ttest_ind,0.6060355888075855,1.0,0.1869287476472802,False,5.674575869733272e-10,1.1349151739466543e-09,3.131951885666383,True,0.0011292925236832982,0.0033878775710498945,1.2837676018489779,True,1.0691261281815827e-09,3.2073783845447482e-09,-3.0454738730106192,True,0.6060355888075861,1.0,0.1869287476472799,False
cycle,g1,unpaired,Mech-none,(S-A)-(Contra),12,22,1.5627822576580464e-15,True,256.65716035437106,6.26190950187685,ttest_ind,4.5227852807594324e-05,9.045570561518865e-05,1.692581694697417,True,1.682898762629561e-13,3.365797525259122e-13,4.349818417375271,True,0.0046583011802525465,0.01397490354075764,1.091887432962778,True,2.4212539588052916e-15,7.263761876415875e-15,-5.0864727724598024,True,4.5227852807594575e-05,0.00013568355842278373,1.6925816946974162,True
cycle,g2,paired,Ech,(A-A)-(S-S),12,12,0.002592195627233595,True,25.195879224412902,1.4490191862202544,ttest_rel,0.052125140784646154,0.10425028156929231,0.6455946311162307,False,0.0023697128228573365,0.004739425645714673,1.8333482523079787,True,0.2606049346692191,0.7818148040076572,0.4050933115189075,False,0.00045935136591623003,0.00137805409774869,-1.8932728039396898,True,0.052125140784646196,0.1563754223539386,0.6455946311162305,False
cycle,g2,paired,Ech,(A-S)-(S-A),12,12,0.08166966206866336,False,7.154342870051501,0.7721368008137925,ttest_rel,,,,False,,,,False,,,,False,,,,False,,,,False
cycle,g2,unpaired,Ech-none,(A-A)-(Same),12,22,1.2799724118231622e-16,True,307.2281426467849,6.851104502514168,ttest_ind,0.0006273365114170435,0.001254673022834087,1.3605361874731279,True,1.8218216389498035e-15,3.643643277899607e-15,5.138843542817619,True,0.0015126621359268103,0.004537986407780431,1.2450674541782507,True,2.8065178021703234e-14,8.41955340651097e-14,-4.651166743357735,True,0.0006273365114170435,0.0018820095342511306,1.360536187473128,True
cycle,g2,unpaired,Ech-none,(S-S)-(Same),12,22,2.190478747346279e-05,True,31.938193642315102,2.208946864664076,ttest_ind,0.2518596071514256,0.5037192143028512,0.4187780107574164,False,0.00011872760918047836,0.00023745521836095673,1.572267119533589,True,0.1320125882879943,0.3960377648639829,0.5547027419134452,False,2.3505394748719704e-05,7.051618424615911e-05,-1.7736080525503624,True,0.25185960715142497,0.7555788214542749,0.4187780107574169,False
cycle,g2,unpaired,Ech-none,(A-S)-(Contra),12,22,1.7410208481360555e-13,True,180.97268963088612,5.258194115879925,ttest_ind,0.2573747562467553,0.5147495124935106,0.41384471432856235,False,1.0067574301289058e-10,2.0135148602578115e-10,3.373488592433749,True,0.001633856549176511,0.004901569647529533,1.2347963101498978,True,2.155131215445719e-11,6.465393646337158e-11,-3.596137592223312,True,0.2573747562467553,0.772124268740266,0.41384471432856235,False
cycle,g2,unpaired,Ech-none,(S-A)-(Contra),12,22,3.169619932409371e-14,True,205.71289453306866,5.606100149568914,ttest_ind,0.09977811446202632,0.19955622892405264,0.6083015262817562,False,5.975684702648642e-12,1.1951369405297284e-11,3.7871934330853385,True,0.00028136006842013406,0.0008440802052604022,1.4633839193663558,True,3.220241587046392e-13,9.660724761139176e-13,-4.243918921561979,True,0.09977811446202701,0.29933434338608106,0.6083015262817546,False
cycle,g3,paired,none,(L-L)-(R-R),22,22,0.015871784933944942,True,10.780206712756286,0.7000067114209525,ttest_rel,0.0038690929167442857,0.007738185833488571,-0.6187268715537104,True,0.022431763132547054,0.04486352626509411,0.5248023462943887,True,0.004761385721085473,0.014284157163256421,0.6459251756362717,True,0.32222408384365175,0.9666722515309553,0.18710015561971,False,0.0038690929167442783,0.011607278750232835,-0.6187268715537093,True
cycle,g3,paired,none,(L-R)-(R-L),22,22,0.013545986291395768,True,11.287783431278255,0.7162967716373587,ttest_rel,0.004394210103794406,0.008788420207588812,-0.6323870333845116,True,0.026192476344177918,0.052384952688355836,0.4225205857445247,False,0.00336579568186631,0.01009738704559893,0.58554412806811,True,0.24463401171269733,0.733902035138092,0.277724684562665,False,0.004394210103794414,0.013182630311383243,-0.6323870333845125,True
cycle,g3,paired,none,(Same)-(Contra),22,22,4.9069141100930636e-08,True,92.01561407007065,2.0451229577401793,ttest_rel,3.999958893015597e-09,7.999917786031193e-09,-1.8992025245629602,True,3.871656342905579e-08,7.743312685811158e-08,0.510293692786185,True,4.518534652983574e-09,1.355560395895072e-08,1.3698231855329435,True,5.019391974267944e-09,1.505817592280383e-08,1.7290821500474742,True,3.999958893015626e-09,1.1999876679046877e-08,-1.8992025245629616,True
stance,g1,paired,Mech,(A-A)-(S-S),12,12,3.0205718949989955e-05,True,77.18096551719582,2.5360889429262894,ttest_rel,1.0804972523901483e-05,2.1609945047802966e-05,1.9410228889846608,True,0.05547019982912827,0.11094039965825654,0.9406184292089745,False,0.1690449571599139,0.5071348714797417,-0.5272268726559424,False,6.910266597184456e-05,0.00020730799791553368,-2.3912743984564138,True,1.0804972523901564e-05,3.241491757170469e-05,1.9410228889846584,True
stance,g1,paired,Mech,(A-S)-(S-A),12,12,0.017152579951399703,True,13.804289681426738,1.0725471893824663,ttest_rel,0.035765776043262885,0.07153155208652577,-0.6633218219863259,False,0.05367574512737408,0.10735149025474816,-0.8209376151384692,False,0.7646804698649886,1.0,-0.10461257054537337,False,0.004107926609033135,0.012323779827099406,1.1583108391776198,True,0.03576577604326296,0.10729732812978889,-0.6633218219863262,False
stance,g1,unpaired,Mech-none,(A-A)-(Same),12,22,8.480520532353225e-18,True,372.14952662456363,7.540303553488598,ttest_ind,6.099026648610631e-12,1.2198053297221262e-11,3.784107139067711,True,8.243367302086342e-16,1.6486734604172684e-15,5.286960076674502,True,0.11356569957643389,0.34069709872930165,0.5838481558313432,False,7.285876720951964e-19,2.185763016285589e-18,-6.751120333262032,True,6.099026648610653e-12,1.829707994583196e-11,3.78410713906771,True
stance,g1,unpaired,Mech-none,(S-S)-(Same),12,22,3.2526754819934215e-13,True,172.5558321545862,5.134461664008496,ttest_ind,1.7448323426298556e-06,3.4896646852597112e-06,2.0944411038932254,True,1.2503683376427746e-11,2.5007366752855492e-11,3.676558362427483,True,0.00791744193187072,0.02375232579561216,1.0166537159850793,True,3.695163174336466e-14,1.1085489523009398e-13,-4.603995677250424,True,1.7448323426298431e-06,5.234497027889529e-06,2.0944411038932262,True
stance,g1,unpaired,Mech-none,(A-S)-(Contra),12,22,2.860746634719391e-14,True,207.29052425171813,5.627555921496298,ttest_ind,7.12301610401762e-08,1.424603220803524e-07,2.494826784848272,True,8.978142089504524e-14,1.7956284179009047e-13,4.453985362058312,True,0.007833156860208388,0.023499470580625164,1.0181950486554199,True,8.052547896654395e-15,2.4157643689963183e-14,-4.869508776754105,True,7.123016104017555e-08,2.1369048312052666e-07,2.494826784848273,True
stance,g1,unpaired,Mech-none,(S-A)-(Contra),12,22,8.750573833122064e-15,True,226.2946217097503,5.879863044993354,ttest_ind,1.4047000074295914e-09,2.809400014859183e-09,3.008514741402676,True,1.6454150699167328e-13,3.2908301398334655e-13,4.3535247758412865,True,0.00853096057624386,0.02559288172873158,1.0058764436543612,True,6.533499903372521e-16,1.9600499710117563e-15,-5.330978777780582,True,1.4047000074295813e-09,4.214100022288744e-09,3.0085147414026774,True
stance,g2,paired,Ech,(A-A)-(S-S),12,12,0.010038082222583811,True,16.609753890705605,1.1764974107743715,ttest_rel,0.003856765994606207,0.007713531989212414,1.002648239271412,True,0.262693348304854,0.525386696609708,0.5014463946578755,False,0.2852009408545354,0.8556028225636062,-0.376501781923689,False,0.00594275578499676,0.017828267354990282,-1.256032819602564,True,0.0038567659946062,0.0115702979838186,1.0026482392714122,True
stance,g2,paired,Ech,(A-S)-(S-A),12,12,0.034926215279750664,True,10.51604182515711,0.9361286336626461,ttest_rel,0.019964027463178106,0.03992805492635621,-0.7712827019888313,True,0.135767328226049,0.271534656452098,-0.46847172901413087,False,0.6577865311659188,1.0,0.12775567059521672,False,0.01103007481579256,0.03309022444737768,0.9062012641768086,True,0.01996402746317814,0.05989208238953442,-0.7712827019888324,False
stance,g2,unpaired,Ech-none,(A-A)-(Same),12,22,1.1217873999784262e-16,True,310.1275180745682,6.88335623363851,ttest_ind,8.56098470668967e-10,1.712196941337934e-09,3.0756952061718668,True,1.2790485927159287e-14,2.5580971854318575e-14,4.787768075287878,True,0.23395229842522783,0.7018568952756835,0.43536312051771625,False,2.6442484830840098e-17,7.93274544925203e-17,-5.967542374284466,True,8.56098470668967e-10,2.568295412006901e-09,3.075695206171867,True
stance,g2,unpaired,Ech-none,(S-S)-(Same),12,22,9.722542405329233e-12,True,132.29176477542137,4.495691475255989,ttest_ind,4.3285685230013855e-06,8.657137046002771e-06,1.9822640902322763,True,1.9824257963115228e-10,3.9648515926230455e-10,3.277856890487708,True,0.03276538725011115,0.09829616175033344,0.8008848334298924,False,1.2925702287881073e-12,3.877710686364322e-12,-4.02266774012871,True,4.3285685230013855e-06,1.2985705569004157e-05,1.9822640902322761,True
stance,g2,unpaired,Ech-none,(A-S)-(Contra),12,22,1.7221915890356944e-13,True,181.12215237083464,5.2603650011709435,ttest_ind,2.577103741851661e-07,5.154207483703322e-07,2.3324596336493553,True,1.872310992851929e-13,3.744621985703858e-13,4.332296924225614,True,0.0023909949153695952,0.007172984746108786,1.183607652372398,True,5.836941014178447e-14,1.7510823042535342e-13,-4.526323557124407,True,2.577103741851661e-07,7.731311225554983e-07,2.3324596336493553,True
stance,g2,unpaired,Ech-none,(S-A)-(Contra),12,22,1.641594126456162e-13,True,181.7821991476764,5.269941216497529,ttest_ind,4.548059043617615e-09,9.09611808723523e-09,2.851456340109596,True,1.3112953573036115e-11,2.622590714607223e-11,3.669491618739118,True,0.032881382128976414,0.09864414638692924,0.8003137503630925,False,1.0005178498497368e-14,3.00155354954921e-14,-4.831032079458772,True,4.548059043617582e-09,1.3644177130852746e-08,2.8514563401095967,True
stance,g3,paired,none,(L-L)-(R-R),22,22,0.31269100285965096,False,2.5889036340044793,0.34304145217348664,ttest_rel,,,,False,,,,False,,,,False,,,,False,,,,False
stance,g3,paired,none,(L-R)-(R-L),22,22,0.0365090699578118,True,8.240124520811946,0.6120058125396859,ttest_rel,0.00918323404799734,0.01836646809599468,-0.69809908571979,True,0.10450966108808532,0.20901932217617064,0.4478077881957155,False,0.018220750441798397,0.05466225132539519,0.745282249513973,False,0.27854301574317364,0.8356290472295209,0.20650583705665984,False,0.009183234047997322,0.027549702143991966,-0.6980990857197908,True
stance,g3,paired,none,(Same)-(Contra),22,22,0.2490309123898805,False,3.1320362354991405,0.3773132431174118,ttest_rel,,,,False,,,,False,,,,False,,,,False,,,,False
swing,g1,paired,Mech,(A-A)-(S-S),12,12,3.950627941834585e-06,True,121.4522862251721,3.181355662622096,ttest_rel,0.02377863998295864,0.04755727996591728,-1.157489806915131,True,4.747775213104737e-07,9.495550426209474e-07,4.815555689477277,True,0.00013919333185261762,0.00041757999555785285,2.6498411051920097,True,0.025566866016430014,0.07670059804929004,-1.0460688274724936,False,0.02377863998295864,0.07133591994887592,-1.1574898069151303,False
swing,g1,paired,Mech,(A-S)-(S-A),12,12,0.2481352856613275,False,3.5363369000531977,0.5428579387566326,ttest_rel,,,,False,,,,False,,,,False,,,,False,,,,False
swing,g1,unpaired,Mech-none,(A-A)-(Same),12,22,1.6224047963049372e-19,True,489.67229220980823,8.649337815299223,ttest_ind,0.010120311682364113,0.020240623364728226,-0.9810096897622909,True,5.797033410349121e-21,1.1594066820698242e-20,7.9411036955138785,True,5.226374042132945e-12,1.5679122126398834e-11,3.807468605068559,True,5.094519588654553e-07,1.528355876596366e-06,-2.2472534988624675,True,0.010120311682364122,0.030360935047092363,-0.9810096897622905,True
swing,g1,unpaired,Mech-none,(S-S)-(Same),12,22,1.861387029413374e-05,True,32.6132825693131,2.2321704318842657,ttest_ind,0.05534926108792931,0.11069852217585863,0.7136650079658455,False,0.06249463429389301,0.12498926858778601,0.6926662076824254,False,0.46866520277473667,1.0,-0.2631886415693632,False,0.0001961287700881612,0.0005883863102644836,-1.5091132937802558,True,0.055349261087929535,0.1660477832637886,0.713665007965845,False
swing,g1,unpaired,Mech-none,(A-S)-(Contra),12,22,3.563594317215441e-12,True,143.2822069268823,4.678711058548583,ttest_ind,0.28120756785959306,0.5624151357191861,-0.39336461921200283,False,2.636136451934716e-09,5.272272903869432e-09,2.923969061998509,True,0.001647631016983147,0.004942893050949441,1.2336757471714803,True,0.0009060354233014669,0.0027181062699044006,-1.3126889092826703,True,0.28120756785959367,0.843622703578781,-0.39336461921200233,False
swing,g1,unpaired,Mech-none,(S-A)-(Contra),12,22,2.872307889254527e-10,True,100.05291087070339,3.9097137213642803,ttest_ind,0.08129546227977696,0.16259092455955393,0.6459659477015729,False,4.663703737721764e-08,9.327407475443527e-08,2.548836703980492,True,0.15834682751967227,0.4750404825590168,0.5183530128029454,False,1.222047194472638e-07,3.6661415834179137e-07,-2.4263910759060567,True,0.08129546227977734,0.243886386839332,0.645965947701572,False
swing,g2,paired,Ech,(A-A)-(S-S),12,12,5.510754615411531e-06,True,112.92258682801119,3.0676074665773214,ttest_rel,0.012672241508589527,0.025344483017179054,-1.2555279008275348,True,4.016263767710183e-07,8.032527535420366e-07,4.14291133048479,True,5.51076409091842e-05,0.0001653229227275526,2.743737222991151,True,0.11363309859473299,0.340899295784199,-0.6788842980080136,False,0.01267224150858956,0.03801672452576868,-1.2555279008275346,True
swing,g2,paired,Ech,(A-S)-(S-A),12,12,0.004193034355964324,True,21.876607815397577,1.3502039295169939,ttest_rel,0.19378794603029592,0.38757589206059184,-0.5545578616545387,False,0.0006900434412006184,0.0013800868824012367,1.850092232877,True,0.02780769131400959,0.08342307394202877,1.0083367377652428,False,0.8425128198449232,1.0,-0.08216547196608757,False,0.19378794603029614,0.5813638380908884,-0.5545578616545382,False
swing,g2,unpaired,Ech-none,(A-A)-(Same),12,22,9.598035370801867e-18,True,368.93474877835087,7.50766482092529,ttest_ind,0.005927036441992602,0.011854072883985205,-1.0580037552143213,True,4.295466329063832e-19,8.590932658127664e-19,6.873271581273948,True,2.735033134517448e-10,8.205099403552344e-10,3.232889968292884,True,7.469943332927418e-05,0.00022409829998782256,-1.6301851387122577,True,0.005927036441992602,0.017781109325977807,-1.0580037552143213,True
swing,g2,unpaired,Ech-none,(S-S)-(Same),12,22,0.0028340654051312256,True,14.720838874422268,1.4996723142936785,ttest_ind,0.019920312444150393,0.039840624888300785,0.8793732003604705,True,0.049629997530720164,0.09925999506144033,0.7322527329614984,False,0.46536061046193944,1.0,-0.2651648824870416,False,0.0006494489583864509,0.0019483468751593526,-1.3560479891039596,True,0.019920312444150323,0.05976093733245097,0.8793732003604711,False
swing,g2,unpaired,Ech-none,(A-S)-(Contra),12,22,1.6815037942287127e-10,True,104.69420921849074,3.999368528980888,ttest_ind,0.44787740176724666,0.8957548035344933,-0.2757596798703195,False,4.372818756715116e-10,8.745637513430232e-10,3.167828212706075,True,0.0022858249677047858,0.006857474903114357,1.1896955239030835,True,0.0036540323067852207,0.010962096920355663,-1.125616042004559,True,0.44787740176724666,1.0,-0.27575967987031946,False
swing,g2,unpaired,Ech-none,(S-A)-(Contra),12,22,1.5488034775140305e-06,True,43.85582319724513,2.588473529068866,ttest_ind,0.17691267729434632,0.35382535458869263,0.495523701105899,False,7.307643317750231e-05,0.00014615286635500462,1.6329231754564586,True,0.4769436691043212,1.0,0.2582730051606616,False,7.586890043001065e-05,0.00022760670129003195,-1.6282484633079177,True,0.1769126772943469,0.5307380318830407,0.4955237011058984,False
swing,g3,paired,none,(L-L)-(R-R),22,22,0.0066780439776928865,True,13.654079490723364,0.7878070682921434,ttest_rel,0.0013824450013782982,0.0027648900027565965,-0.8627281301403446,True,0.4776402689498527,0.9552805378997054,0.09995759604043004,False,0.0015021862149738427,0.004506558644921528,0.7165879778796568,True,0.0021855781525695742,0.006556734457708723,0.9322508623415767,True,0.0013824450013783006,0.004147335004134902,-0.8627281301403489,True
swing,g3,paired,none,(L-R)-(R-L),22,22,0.15305663604913053,False,4.33576827977944,0.44393735633939496,ttest_rel,,,,False,,,,False,,,,False,,,,False,,,,False
swing,g3,paired,none,(Same)-(Contra),22,22,4.354909118266073e-09,True,122.98637070951102,2.3643793218739346,ttest_rel,1.5255893687377083e-09,3.0511787374754166e-09,-2.5238386109210422,True,5.396355506068252e-05,0.00010792711012136504,1.2822517948700465,True,1.5496970375127457e-08,4.649091112538237e-08,2.285068200527618,True,3.257789255371176e-10,9.773367766113529e-10,2.4526907834127383,True,1.5255893687377025e-09,4.576768106213107e-09,-2.5238386109210427,True
